tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count
0,0,0,0.0,0.0,0.0,0.0,6,494
100,65,3,7.708628386071415,4.099333333333333,4.121666666666667,13.233166666666671,235,265
200,276,463,8.19450553379296,6.123449134199132,23.381372655122654,30.558762626262627,56,444
300,599,418,7.899747628504103,2.8612133685028436,30.267275778315224,38.06265164221747,99,401
400,723,299,7.692392687497589,2.513355089355092,31.6310516983017,39.9597865190365,114,386
500,735,226,7.735693310366487,2.4427411820205944,33.70424685282038,42.17706256815077,77,423
600,691,94,7.59663741767006,2.3551030856398527,33.27390695578927,40.226902460284826,78,422
700,727,91,7.609764103870466,2.0354681829608325,31.065268641489226,39.77261288058348,94,406
800,769,73,7.648802402614385,1.8984502874576423,31.21335951221981,40.353760279752905,80,420
900,682,64,7.485742276912759,2.317783771783773,31.485888320013327,38.14112963425462,84,416
1000,742,70,7.381927442178413,1.9608251968619652,30.829063439828143,39.41145056169322,83,417
1100,706,51,7.436785212197028,2.16832317927171,31.37126945766652,39.392594005667554,84,416
1200,771,66,7.480908161609276,1.9263952713952728,30.92583072483072,40.00284060384059,81,419
1300,709,53,7.353592778248375,2.1977553599651123,30.64182227151071,37.99415035287209,86,414
1400,756,52,7.314893936785815,2.0295196698726135,31.225026658798726,40.05061565313772,80,420
1500,695,77,7.347646891328455,2.0782715968671877,31.22846086919617,39.54210518729635,79,421
1600,711,50,7.324943316151161,2.1123558369734847,31.88450462037963,39.4544518398268,93,407
1700,763,58,7.342692836402191,1.909463182242595,32.93253421251948,41.37479906449757,87,413
1800,754,57,7.193659275885804,1.9752701134434907,31.477218928259553,40.15316381979734,83,417
1900,754,41,7.105024971940914,2.019642843267844,32.309841061716064,39.945964049839056,86,414
2000,734,53,7.232884405521583,2.043017383760032,31.904089227765695,39.36815666278165,92,408
2100,760,52,7.127319577926295,1.7436229824097498,31.531800412822452,39.90986448845272,92,408
2200,729,48,7.008089086222338,2.0489731767200827,33.19149947128894,40.1846951857482,85,415
2300,727,61,7.158564574405238,2.038997455159221,30.862505148446335,38.85714023721377,88,412
2400,741,62,7.004975800937835,1.9728115275247635,31.638601185579123,39.62538379675878,93,407
2500,778,60,7.050355040113682,1.8297511985348693,31.34999463793003,39.979793137461094,95,405
2600,766,23,6.992783773505259,2.0102856734768526,32.994310927634444,39.26205189908131,84,416
2700,755,36,7.0410161918276035,1.8778491451359105,31.84396161926306,39.024998228895306,87,413
2800,773,60,7.1237872666902025,1.8479978411681213,31.508237235975248,40.069995912111615,84,416
2900,744,49,7.0329318220063355,1.9531245733111076,32.37471231009274,39.456660249880834,93,407
3000,748,46,7.141205497199147,2.082355435757912,32.84755512229427,40.14968608154832,85,415
3100,717,47,7.071772353160594,1.9883947580197605,32.74402077089576,39.67490861915861,88,412
3200,769,48,7.200384130246914,1.95609170726934,31.030417063199963,38.359283855764126,92,408
3300,773,50,7.062101695152543,1.8350857079796719,30.43548863619182,39.09709342373309,91,409
3400,809,40,7.0345223423227425,1.7791093966233307,31.55952033973936,39.06224144616132,90,410
3500,761,27,7.038136639397781,1.8834443715469273,29.821710436149697,37.10364607017509,88,412
3600,713,27,7.105793571056698,2.239461682108743,28.69630077357285,36.73090888360003,76,424
3700,735,54,6.967973508228652,1.7362123756016945,32.65679714892952,39.46910450750659,100,400
3800,793,37,6.770628068498984,1.7962897380397407,31.858337135087137,39.759922771672755,82,418
3900,729,26,6.667366160417835,1.88434587308117,30.033279255874827,38.32681322925441,89,411
4000,765,46,6.7105770796751365,1.8623704383851452,31.40314326686382,39.22032871866696,89,411
4100,749,28,6.701290191889804,1.9960913296799554,30.357648144854785,37.50111365977506,84,416
4200,708,15,6.622212049416028,1.9847527056277081,29.893890928515933,36.59468248418249,85,415
4300,775,64,6.692018968387014,1.8196936478554133,32.11366371700196,40.32742352092351,95,405
4400,805,20,6.657475386740427,1.8599426488544166,29.021309857626047,37.35543252988838,91,409
4500,778,24,6.643190823280796,1.7871191426822233,30.091989101112162,37.264442249485995,91,409
4600,800,28,6.666675848017113,1.7451225438648035,29.508063822314565,36.95582535648907,91,409
4700,772,28,6.630725355100656,1.8195934359757908,29.791120141296634,37.77511257533314,90,410
4800,751,28,6.736555736853702,1.9818557659660625,31.582237475759555,38.03690433830873,89,411
4900,757,18,6.6148435059105495,1.9953812600797918,29.793314873851635,36.558509502752116,78,422
5000,712,15,6.591798550573677,1.9538184168772423,29.725424134688843,37.09318472948622,87,413
5100,758,34,6.541524876618863,1.7398436090053775,32.53221852983618,39.404530606648265,83,417
5200,785,16,6.543442856852209,1.857096765162942,29.525733921307445,36.86501940951206,83,417
5300,730,30,6.551244107685944,1.9682349553181615,29.55837152583398,36.05179568926085,92,408
5400,777,28,6.660776535638656,1.8151751567146315,30.930968033428563,37.65853317077659,82,418
5500,763,44,6.659300453436122,1.7332847291597315,29.838770641939774,37.987983094519855,90,410
5600,752,19,6.6895230144392634,1.9001440928352706,31.21277523701788,37.95064078731727,89,411
5700,775,28,6.665653674250186,1.8869286277018469,31.92478471863536,38.76629264573577,86,414
5800,817,37,6.668384381802084,1.669742746804282,31.796883517969835,39.352367074016435,99,401
5900,790,20,6.654964991258631,1.8618533265410222,30.708086194764988,37.431069176480534,90,410
6000,762,16,6.538429201246892,2.011850027165817,30.95661529552323,36.71155018957647,87,413
6100,811,30,6.56902278544683,1.9010373515373533,33.40897089103707,38.84136362493716,83,417
6200,740,30,6.629966147886872,1.8878771815559747,31.524389378595266,38.24974451258237,98,402
6300,781,30,6.544241497164209,1.917190804594445,31.533677228215524,38.43540608806397,85,415
6400,815,38,6.564567902755719,1.7106923177441768,31.64030317175942,39.082711990237144,97,403
6500,739,22,6.540832799697746,1.8861662073306824,30.087694516010277,37.186741196668805,81,419
6600,785,24,6.49286703219473,1.7080159569532656,30.442059287934295,37.83952988166803,84,416
6700,760,19,6.459073942054385,1.86299117403065,29.63519183156024,36.72918003779847,94,406
6800,781,29,6.505205932333626,1.6532502064928547,31.02650885715593,37.610844563932794,90,410
6900,806,26,6.532387242304627,1.7796403490300552,29.543548297290954,37.10495236952589,92,408
7000,802,26,6.563910331857824,1.7424837688541257,31.26910354162521,36.889340609339044,91,409
7100,774,23,6.369244659360349,1.7300184702638284,28.788497007292673,36.472023304997386,93,407
7200,798,26,6.441703374083131,1.8078255904312435,29.138145500784034,36.76638153921243,93,407
7300,791,18,6.394115522363213,1.9717509851259856,32.05906644907378,36.376575150339875,82,418
7400,773,39,6.429627513448968,1.737896325896327,30.06051372238871,37.5326846070596,85,415
7500,779,16,6.414150238919142,1.7613857551229697,30.858138440239784,38.34678320468248,85,415
7600,777,34,6.397157889609129,1.630804163973282,31.086245469399874,38.0751539661319,89,411
7700,755,24,6.434472258401027,1.7163699386269065,30.14392399112753,37.187927460439475,94,406
7800,753,22,6.276550287398544,1.824882017492313,31.473037060978214,37.37171264601412,80,420
7900,733,38,6.417463881229079,1.7358311582208683,30.228975296762084,37.79556346023257,89,411
8000,785,18,6.389618947956405,1.815774834212918,31.989187972493617,38.16929940238641,89,411
8100,779,40,6.413302851410759,1.685217008868325,28.74085008047506,37.19179559621667,96,404
8200,737,32,6.282942213478125,1.880860697051489,29.896052392653804,37.10229470250252,86,414
8300,774,34,6.432655980224206,1.767198855066504,29.78083677515297,36.917992998831224,88,412
8400,793,29,6.461997233523107,1.957704877380961,31.56221616004393,37.552389350200905,91,409
8500,819,39,6.427049228877223,1.7165273457622556,31.88854199657411,38.31252779564777,86,414
8600,770,39,6.485032778773879,1.83411098868452,29.63624752616664,36.70755818364642,82,418
8700,766,6,6.40456394047748,1.875970002220003,28.807950563325562,35.20132965645466,90,410
8800,737,12,6.301396295800612,1.9447886998622306,26.946745274333527,34.498815065653304,83,417
8900,757,20,6.265118661271252,1.7694793323291802,29.678339856479937,35.93968049674784,85,415
9000,791,20,6.2183882767854834,1.8630998927113478,32.05157515343273,38.163967579719895,86,414
9100,762,17,6.215837477698158,1.7687357772946033,28.106987638994998,35.94077567612126,81,419
9200,753,20,6.215665493414007,2.0039706884962314,28.730566738258304,35.018671042193084,90,410
9300,820,16,6.298903540336583,1.692939640424936,28.565456358184303,36.06097287353168,89,411
9400,779,17,6.246092939535293,1.760402492631208,28.665638575992297,35.420779881238474,85,415
9500,825,19,6.156620254709691,1.6768771060380978,29.725847179909852,36.671268663139415,86,414
9600,822,20,6.206060729058175,1.760508641255548,29.27661273886934,35.36910555229943,97,403
9700,813,30,6.168505884738742,1.7187320106364246,31.653038694965165,39.169391337420755,91,409
9800,787,31,6.2000578338894545,1.8014220362970386,31.242574439449456,36.868951354201364,86,414
9900,805,14,6.216248006842802,1.748534912928491,31.317657388320313,36.702932004313205,86,414
10000,768,18,6.111665996467269,1.9374292357968848,29.207481296481284,35.21140679989945,90,410
